Name,Year,Team,Age,Pos.,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
심우준,2022,KT,27,SS,132,449,437,388,69,93,8,2,4,117,34,23,2,43,2,0,75,11,11,4,0.24,0.316,0.302,0.618,-0.037,72.1,1.54
최정,2022,SSG,35,3B,121,505,504,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.056,151.4,5.71
최정,2023,SSG,36,3B,128,552,547,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.057,151.6,4.85
최정,2024,SSG,37,3B,37,156,156,133,26,37,11,0,12,84,33,3,0,16,6,0,33,4,0,1,0.278,0.378,0.632,1.01,0.069,149.7,1.52
김성욱,2023,NC,30,RF,93,204,201,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,0.223,0.303,0.38,0.683,-0.02,87.1,0.34
김성욱,2024,NC,31,CF,40,151,151,131,24,26,5,0,7,52,24,5,1,15,5,0,33,4,0,0,0.198,0.305,0.397,0.702,-0.021,80.8,0.44
김재호,2022,두산,37,SS,102,264,257,223,26,48,7,0,1,58,21,0,2,28,2,0,33,5,7,4,0.215,0.304,0.26,0.564,-0.052,60.0,0.57
김재호,2023,두산,38,SS,91,302,287,247,32,70,13,0,3,92,29,4,0,30,8,2,24,11,15,2,0.283,0.376,0.372,0.748,0.028,126.4,3.3
김재호,2024,두산,39,SS,6,19,17,12,4,3,2,0,0,5,2,0,0,4,0,0,1,1,2,1,0.25,0.412,0.417,0.829,0.038,123.4,0.02
허경민,2022,두산,32,3B,121,493,489,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.36,0.398,0.758,0.023,123.0,2.08
허경민,2023,두산,33,3B,130,475,472,429,44,115,23,1,7,161,48,9,3,35,6,3,26,6,0,5,0.268,0.328,0.375,0.703,-0.017,89.7,2.35
허경민,2024,두산,34,3B,43,177,177,152,30,57,10,0,2,73,24,1,0,12,9,0,10,1,0,4,0.375,0.441,0.48,0.921,0.075,154.2,2.59
서건창,2022,LG,33,2B,77,247,244,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,-0.032,76.2,-0.05
서건창,2023,LG,34,2B,44,126,123,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,-0.053,59.9,-0.53
서건창,2024,KIA,35,2B,34,97,97,78,18,23,5,0,1,31,9,3,1,17,1,0,10,1,0,1,0.295,0.423,0.397,0.82,0.034,122.8,0.56
류지혁,2022,KIA,28,3B,127,477,469,405,55,111,19,2,2,140,48,8,4,56,6,0,83,6,8,2,0.274,0.369,0.346,0.715,0.009,110.2,2.19
류지혁,2023,KIA,29,3B,66,253,250,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.66,-0.023,85.1,-0.18
류지혁,2023,삼성,29,3B,66,269,261,235,35,63,5,0,2,74,28,22,0,19,3,0,30,7,8,4,0.268,0.326,0.315,0.641,-0.032,77.4,0.55
류지혁,2024,삼성,30,2B,24,84,84,74,9,20,1,0,1,24,12,3,2,8,1,0,15,0,0,1,0.27,0.345,0.324,0.669,-0.022,80.0,0.21
오재일,2022,삼성,36,1B,135,536,529,470,57,126,42,0,21,231,94,2,1,57,2,8,133,7,0,7,0.268,0.345,0.491,0.836,0.014,114.8,2.42
오재일,2023,삼성,37,1B,106,364,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,-0.038,71.4,0.99
오재일,2024,삼성,38,1B,13,50,50,44,3,9,4,1,1,18,5,0,0,6,0,0,9,2,0,0,0.205,0.3,0.409,0.709,-0.038,68.4,-0.26
강민호,2022,삼성,37,C,130,444,441,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.33,0.409,0.739,-0.013,92.3,0.51
강민호,2023,삼성,38,C,125,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.013,115.4,2.61
강민호,2024,삼성,39,C,42,137,136,122,14,32,2,0,2,40,13,0,0,12,2,1,14,8,0,1,0.262,0.336,0.328,0.664,-0.028,76.1,0.23
강백호,2022,KT,23,1B,62,264,261,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,-0.033,75.4,-0.12
강백호,2023,KT,24,RF,71,271,269,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.003,106.9,0.98
강백호,2024,KT,25,RF,43,201,201,187,35,65,11,0,13,115,44,1,2,11,1,1,38,1,0,2,0.348,0.383,0.615,0.998,0.086,162.9,2.05
김강민,2022,SSG,40,CF,84,202,198,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.049,144.3,2.18
김강민,2023,SSG,41,CF,70,166,163,137,20,31,3,0,2,40,7,2,1,23,1,1,38,2,2,3,0.226,0.335,0.292,0.627,-0.022,85.8,0.41
김강민,2024,한화,42,CF,14,28,28,26,0,4,0,0,0,4,0,0,0,2,0,0,7,1,0,0,0.154,0.214,0.154,0.368,-0.149,-16.6,-0.53
김헌곤,2022,삼성,34,RF,80,239,237,224,18,43,8,0,1,54,20,3,1,9,1,0,22,10,2,3,0.192,0.224,0.241,0.465,-0.082,33.1,-2.35
김헌곤,2023,삼성,35,RF,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.314,-162.1,-0.18
김헌곤,2024,삼성,36,RF,38,82,81,74,12,24,3,0,3,36,11,1,1,6,1,0,16,1,1,0,0.324,0.383,0.486,0.869,0.03,119.9,0.45
김현수,2022,LG,34,LF,141,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.046,142.0,4.81
김현수,2023,LG,35,DH,133,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.014,115.6,2.19
김현수,2024,LG,36,DH,43,187,187,170,17,54,9,1,4,77,26,2,1,15,0,1,22,3,0,2,0.318,0.369,0.453,0.822,0.02,112.3,0.6
박병호,2022,KT,36,1B,124,487,485,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.908,0.045,141.9,5.19
박병호,2023,KT,37,1B,132,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.028,127.7,4.15
