Name,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
최원태,2024,LG,27,P,8,8,0,0,0,0,4,2,0,0,43.1,18,19,16.75,186,35,6,0,2,22,1,0,43,2,0,4,3.74,3.95,3.48,3.93,1.32,1.42
김광현,2022,SSG,34,P,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48.0,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,3.14,1.07,6.44
김광현,2023,SSG,35,P,30,30,0,0,0,0,9,8,0,0,168.1,66,75,72.75,713,163,30,0,11,70,2,0,119,9,0,5,3.53,4.01,3.89,4.19,1.38,4.48
김광현,2024,SSG,36,P,9,9,0,0,0,0,3,3,0,0,47.1,27,27,26.65,198,44,6,0,8,15,1,0,52,2,0,1,5.13,5.13,5.07,4.51,1.25,0.87
문성현,2022,키움,31,P,45,0,45,15,0,0,0,1,13,9,41.1,15,16,16.5,168,34,5,0,3,14,1,0,32,2,0,2,3.27,3.48,3.59,3.84,1.16,0.87
문성현,2023,키움,32,P,32,0,32,7,0,0,2,2,0,2,28.1,14,16,18.25,134,26,3,0,2,20,2,2,21,2,0,2,4.45,5.08,5.8,5.02,1.62,-0.02
문성현,2024,키움,33,P,17,0,17,6,0,0,0,0,3,0,17.1,10,10,9.3,81,24,3,1,0,8,1,0,14,1,0,1,5.19,5.19,4.83,3.78,1.85,0.3
백정현,2022,삼성,35,P,24,24,0,0,0,0,4,13,0,0,124.2,73,76,73.75,562,154,27,2,22,37,9,1,70,9,0,9,5.27,5.49,5.32,5.62,1.53,1.75
백정현,2023,삼성,36,P,18,18,0,0,0,0,7,5,0,0,100.2,41,44,42.1,419,100,19,2,6,30,0,2,61,1,1,5,3.67,3.93,3.76,3.91,1.29,3.09
백정현,2024,삼성,37,P,2,2,0,0,0,0,0,0,0,0,8.1,5,5,5.0,38,9,1,1,0,7,0,0,3,0,0,0,5.4,5.4,5.4,5.9,1.92,0.05
양현종,2022,KIA,34,P,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,3.66,1.25,3.07
양현종,2023,KIA,35,P,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,3.7,1.34,3.54
양현종,2024,KIA,36,P,9,9,0,1,1,0,3,2,0,0,56.2,21,22,21.5,235,51,10,0,6,14,2,0,40,3,0,1,3.34,3.49,3.41,4.56,1.15,2.02
조상우,2024,키움,30,P,22,0,22,0,0,0,0,1,0,5,19.1,10,13,11.6,82,17,1,0,1,10,0,0,17,0,0,1,4.66,6.05,5.4,4.21,1.4,0.21
